city,states,mpo,trip_per_veh,poolPercent,extraVMTPercent,lon,lat
Roseville,CA,SACOG,75.52963671,0.327968177,0.251106311,-121.2918609,38.76151036
Riverside,CA,SCAG,70.0839107,0.270652315,0.241224822,-117.4011365,33.94005725
Long Beach,CA,SCAG,75.51813914,0.417458688,0.193017024,-118.1550778,33.81014687
Antioch,CA,MTC,69.31889764,0.067805954,0.382754608,-121.8000991,37.99878694
Hemet,CA,SCAG,85.00932836,0.112778086,0.365331146,-116.9917135,33.74500431
San Clemente,CA,SCAG,77.4625,0.062570823,0.380051807,-117.6117232,33.45252328
Corona,CA,SCAG,81.76733891,0.155407465,0.310473005,-117.5604109,33.86529662
Folsom,CA,SACOG,77.26308244,0.190656865,0.31561488,-121.1469553,38.67575646
Oakland,CA,MTC,62.36926606,0.493852001,0.21077455,-122.21468,37.79070947
Oxnard,CA,SCAG,74.04876894,0.18982823,0.314502193,-119.1771655,34.20274271
Olivehurst,CA,SACOG,81.3814433,0.006493506,0.572798566,-121.5638148,39.08577169
Apple Valley,CA,SCAG,57.31560773,0.014149275,0.437331264,-117.2172186,34.5391764
Rancho Cordova,CA,SACOG,74.45990566,0.224167789,0.267618265,-121.2383129,38.5827606
San Jose,CA,MTC,45.75172752,0.592009407,0.195302159,-121.8789722,37.32386385
Lancaster,CA,SCAG,82.03607666,0.1141648,0.30737263,-118.1507897,34.67892114
San Francisco,CA,MTC,58.10529801,0.689841148,0.193578022,-122.4379246,37.75775549
Vallejo,CA,MTC,66.85119048,0.218757633,0.312421694,-122.2203245,38.11736252
Camarillo,CA,SCAG,110.5255814,0.074249847,0.399028597,-119.03692,34.22727513
Walnut Creek,CA,MTC,69.0894526,0.213293651,0.381945708,-122.040229,37.90723912
Woodland,CA,SACOG,101.1359223,0.109884922,0.294537114,-121.7712624,38.67331856
